0.095782	0.361361	Don't
0.364263	0.635646	ask
0.655964	0.821406	me
0.878005	0.933152	to
0.997007	1.309025	carry
1.310476	1.428027	an
1.493333	1.867755	oily
1.870658	2.128980	rag
2.128980	2.268299	like
2.368435	2.680454	that
0.095782	0.361361	Don't
0.364263	0.635646	ask
0.655964	0.821406	me
0.878005	0.933152	to
0.997007	1.165351	car
1.165351	1.309025	riy
1.310476	1.428027	an
1.493333	1.690703	oi
1.690703	1.870658	liy
1.870658	2.128980	rag
2.128980	2.268299	like
2.368435	2.680454	that

0.158299	0.418798	Don't
0.419524	0.629229	ask
0.703243	0.829501	me
0.888277	0.935442	to
1.002200	1.301882	carry
1.301882	1.400567	an
1.448458	1.805465	oily
1.805465	2.056531	rag
2.056531	2.179887	like
2.295261	2.617438	that
0.158299	0.418798	Don't
0.419524	0.629229	ask
0.703243	0.829501	me
0.888277	0.935442	to
1.002200	1.145873	car
1.145873	1.301882	riy
1.301882	1.400567	an
1.448458	1.665420	oi
1.665420	1.805465	liy
1.805465	2.056531	rag
2.056531	2.179887	like
2.295261	2.617438	that

