0.231587	0.323016	The
0.324467	0.974263	museum
0.974263	1.385329	hires
1.385329	2.099342	musicians
2.099342	2.409909	every
2.453447	2.819161	evening
0.231587	0.323016	the
0.324467	0.561020	mu
0.561020	0.822245	se
0.822608	0.974263	um
0.974263	1.214807	hai
1.214807	1.385329	ers
1.385329	1.563107	mu
1.563107	1.726372	si
1.726372	1.920839	ci
1.920839	2.099342	ans
2.099342	2.252449	ev
2.252449	2.409909	ry
2.453447	2.616712	ev
2.616712	2.819161	ning

0.231587	0.328095	The
0.329546	0.974263	museum
0.974263	1.385329	hires
1.385329	2.108050	musicians
2.108776	2.409909	every
2.431678	2.861973	evening
0.231587	0.328095	the
0.329546	0.551587	mu
0.551587	0.804104	se
0.804104	0.973900	um
0.974263	1.210454	hai
1.211179	1.385329	ers
1.385329	1.615351	mu
1.615351	1.729274	si
1.729274	1.915760	ci
1.916485	2.108050	ans
2.108776	2.260431	ev
2.260431	2.409909	ry
2.431678	2.594218	ev
2.594218	2.861247	ning

