0.189501	0.402834	This
0.402834	0.575533	is
0.575533	0.833855	our
0.841111	1.472404	singular
1.479660	1.796032	goal
0.189501	0.402834	this
0.402834	0.575533	is
0.575533	0.772177	ao
0.772177	0.833855	er
0.841111	1.113946	sin
1.113946	1.243832	gu
1.244558	1.472404	lar
1.479660	1.796032	gol

0.185510	0.384694	This
0.385420	0.528367	is
0.529093	0.783787	our
0.791769	1.355578	singular
1.407823	1.711134	goal
0.185510	0.384694	this
0.385420	0.528367	is
0.529093	0.714127	ao
0.714127	0.783787	er
0.791769	1.031950	sin
1.031950	1.148776	gu
1.149501	1.355578	lar
1.407823	1.711134	gol

