0.224331	0.858526	Publicity
0.858526	0.990590	and
0.990590	1.632041	notoriety
1.681383	1.912132	go
1.925193	2.222698	hand
2.222698	2.347506	in
2.348957	2.761111	hand
0.224331	0.412993	pab
0.412993	0.496440	li
0.496440	0.656803	ci
0.707596	0.858526	tiy
0.858526	0.990590	and
0.990590	1.116122	no
1.148776	1.288095	to
1.288095	1.427415	ri
1.473492	1.632041	tiy
1.681383	1.912132	go
1.925193	2.222698	hand
2.222698	2.347506	in
2.348957	2.761111	hand

0.256976	0.910288	Publicity
0.911653	1.039312	and
1.039995	1.663269	notoriety
1.717200	1.924731	go
1.924731	2.236368	hand
2.236368	2.405328	in
2.405328	2.799909	hand
0.256976	0.469968	pab
0.469968	0.558032	li
0.558032	0.705829	ci
0.752251	0.909947	tiy
0.911653	1.039312	and
1.039995	1.203152	no
1.226363	1.368016	to
1.368016	1.507280	ri
1.516837	1.662928	tiy
1.717200	1.924731	go
1.924731	2.236368	hand
2.236368	2.405328	in
2.405328	2.799909	hand
