0.321505	0.750112	She
0.750112	0.978095	had
0.978107	1.230395	your
1.230840	1.488527	dark
1.488527	1.781009	suit
1.842531	2.026088	in
2.044242	2.407514	greasy
2.407603	2.682486	wash
2.727879	3.097719	water
3.098259	3.295293	all
3.295293	3.574634	year
0.321505	0.750112	She
0.750112	0.978095	had
0.978107	1.230395	your
1.230840	1.488527	dark
1.488527	1.781009	suit
1.842531	2.026088	in
2.044242	2.213883	gri
2.213583	2.407758	siy
2.407603	2.682486	wash
2.727879	2.869120	wa
2.898652	3.097178	ter
3.097719	3.295293	all
3.295293	3.574634	year

0.184460	0.492173	She
0.494759	0.750756	had
0.755928	0.952451	your
1.019683	1.278265	dark
1.280851	1.596322	suit
1.640281	1.792845	in
1.810946	2.211749	greasy
2.211749	2.486632	wash
2.488433	2.814247	water
2.819419	2.990084	all
3.000427	3.336585	year
0.184460	0.492173	She
0.494759	0.750756	had
0.755928	0.952451	your
1.019683	1.278265	dark
1.280851	1.596322	suit
1.640281	1.792845	in
1.810946	2.010055	gri
2.010055	2.211749	siy
2.211749	2.486632	wash
2.488433	2.648754	wa
2.682370	2.814247	ter
2.819419	2.990084	all
3.000427	3.336585	year

