,precision,recall,fscores,MAPs,nDCGs
0,0.21333333333333335,0.03466682700016032,0.05747243606067134,0.21333333333333335,0.14666666666666667
1,0.2111111111111111,0.06200761793447106,0.09039233263847926,0.2777777777777778,0.1570022369051524
2,0.20592592592592596,0.08861800754486071,0.11572993889627473,0.29777777777777786,0.16461871519998525
3,0.19444444444444445,0.11060442729794703,0.13105776603503308,0.31358024691358033,0.16749660258135118
4,0.18844444444444455,0.13503517737575593,0.14574950181692228,0.32019135802469156,0.17375093168589578
5,0.17481481481481487,0.14832983106514655,0.1489079798582798,0.3235691358024693,0.1756306521047425
6,0.16571428571428562,0.16291610463181228,0.15238228549002117,0.3231652557319227,0.17901254913993284
7,0.15611111111111112,0.17457587695825127,0.15316579446812187,0.31778871252204605,0.18104661100086167
8,0.14962962962962942,0.18670556883500194,0.15449777811960622,0.3180094356261025,0.18458354095305965
9,0.14622222222222228,0.2013260194209021,0.15729765992610667,0.3125202527924751,0.19033745400028515
