,precision,recall,fscores,MAPs,nDCGs
0,0.6355555555555555,0.10733346681326106,0.1761409170776886,0.6355555555555555,0.6355555555555555
1,0.5488888888888889,0.17919169632321474,0.25430285638158995,0.6844444444444444,0.6845060010110968
2,0.4933333333333333,0.23461910700554883,0.29624304192339107,0.6981481481481485,0.7093404858282435
3,0.45555555555555555,0.2822316604651612,0.32293150675837934,0.6925925925925926,0.7212236716497643
4,0.4142222222222227,0.31276906388762205,0.32941438660915484,0.6873888888888886,0.7231781742749074
5,0.3814814814814814,0.33894209637437994,0.3315901277233037,0.6789024691358025,0.7228412537998694
6,0.35111111111111143,0.35830803545871004,0.3276111771250168,0.6696433862433863,0.7223691192998115
7,0.3338888888888889,0.3861584055078632,0.3308103669880347,0.6570763164525071,0.719592199923792
8,0.31160493827160535,0.401366443924364,0.32452564978538817,0.64773885739481,0.7156764695583742
9,0.297777777777778,0.4217840466556923,0.3233403849895272,0.6404462494051117,0.717174115877128
