0.000000000000000000e+00 -3.751775159597885850e-02 8.682229611755461901e-03 -9.362030908272824707e-04 -1.888649507288099258e-02 -1.882436050116129134e-02 8.408294409819906928e-04 -7.290917490336641139e-03 -1.459760099071061952e-03 -1.107687967431775743e-03
1.000000000000000056e-01 -4.646052839317965644e-02 2.183670210346540935e-02 2.562469500010349649e-02 -2.536214324647396295e-02 -3.423572230841991949e-03 -1.459638128456292733e-02 -8.380772264526235860e-03 -6.692582790743980582e-03 -9.891994361052274323e-03
2.000000000000000111e-01 1.498584783902616457e-01 -7.863356581588469563e-02 -9.056801638380185260e-03 -3.790522917022904476e-02 -9.532203798262712385e-03 -1.139417898259397627e-02 -1.707773924970149015e-02 -1.662642732215799390e-02 -1.374746660318357239e-02
3.000000000000000444e-01 1.916687556496803058e-02 -9.156452718524938153e-03 -2.258681668373211521e-02 -1.454753641995345723e-02 -2.863729073836055600e-02 -2.251966059115197843e-02 -1.540674861122998986e-02 -1.971540064057508701e-02 -2.117270021475418582e-02
4.000000000000000222e-01 5.668137531876245305e-02 4.046171290552487421e-02 -2.085170780166035326e-02 -4.678319014891331451e-02 -1.930237499446020230e-02 -2.238699822455473415e-02 -2.336610008698227978e-02 -1.579007074945190658e-02 -2.208634576554798293e-02
5.000000000000000000e-01 4.392286703142804505e-02 -1.296712471213760376e-01 -9.105498913174940590e-02 -9.593090527445476481e-03 -9.384853203256703427e-03 -2.750409643347655197e-02 -2.421625890575401438e-02 -1.827662055808582792e-02 -2.206714711207596186e-02
6.000000000000000888e-01 7.601362474969897143e-04 -3.580340026025869565e-02 -3.677479290637628018e-02 2.510578246539593716e-03 -4.189840580318217322e-03 -2.368771993162311143e-02 -1.989787589021221187e-02 -1.581923727149893433e-02 -1.821932018880006651e-02
7.000000000000000666e-01 -1.324739552922689634e-01 -8.989725077421065191e-02 2.769163541549424928e-03 1.853430313254299591e-02 -1.111625031466940278e-02 -1.364278259751577904e-02 -1.206001237377556795e-02 -8.063759638344622158e-03 -1.152670020371881696e-02
8.000000000000000444e-01 -4.836837738089617977e-02 4.789197078942798030e-02 -4.269991000766144157e-02 -7.393365487597497801e-03 1.324134306201914940e-02 -8.478856987830799691e-03 -2.810824004036794298e-03 -2.062509122922567221e-03 -3.153397830477158888e-03
9.000000000000000222e-01 -1.187439235591745412e-01 2.738603726222427204e-02 3.791219379657057714e-02 1.358766979858565954e-02 -1.480216775587822609e-02 1.314606030565695742e-02 4.826983879910876768e-03 4.526058268113209923e-03 4.135179870447910910e-03
1.000000000000000000e+00 1.187500020123102989e-01 6.702307344157994173e-02 1.354742178862304233e-03 3.531606752577969022e-02 2.321827841222574157e-02 1.324564815108714502e-02 1.897465835843460333e-02 1.392501732404935987e-02 1.407541494683309594e-02
