,precision,recall,fscores,MAPs,nDCGs
0,0.22666666666666666,0.034602989144784796,0.057503592165853976,0.22666666666666666,0.17555555555555555
1,0.18222222222222223,0.051081929498854144,0.0745728633368064,0.2644444444444444,0.15714233784151846
2,0.17481481481481478,0.07483160964327114,0.09620697145027206,0.2925925925925927,0.15797693298473323
3,0.16555555555555557,0.09230239811405958,0.10834333614085033,0.3009876543209878,0.15944084268144162
4,0.1537777777777776,0.1086913363363311,0.11653150311663338,0.3076358024691359,0.15957895808261816
5,0.142962962962963,0.12063754444920585,0.1196347897653231,0.306216049382716,0.16045051536023944
6,0.13841269841269827,0.13670690283228976,0.12579117537495108,0.3026582010582011,0.16453615630989585
7,0.13722222222222222,0.15555952551824584,0.13369726182224076,0.3012590828924163,0.17152700989522932
8,0.13135802469135785,0.16679294897006022,0.13454255331977327,0.2996359284454524,0.17550584591821414
9,0.12622222222222235,0.17589203506914639,0.13503934651417712,0.29662458217855053,0.1795102941941265
