,precision,recall,fscores,MAPs,nDCGs
0,0.16444444444444445,0.028577761744428408,0.04678481920174387,0.16444444444444445,0.12777777777777777
1,0.14444444444444443,0.04951017509523255,0.06901028302251157,0.2111111111111111,0.12621074995190368
2,0.1377777777777777,0.06925684817523893,0.08571822854743388,0.2381481481481482,0.12934709697263572
3,0.12222222222222222,0.0796792074923351,0.08954629215043372,0.250246913580247,0.1260406473597971
4,0.11911111111111095,0.0942594945380718,0.09729203694108791,0.260135802469136,0.12947203446578845
5,0.1111111111111112,0.10420719498577224,0.09908055287203123,0.26501851851851854,0.13281029874762812
6,0.10603174603174591,0.11884297533994342,0.1026263030199621,0.2642195767195768,0.13817728649872793
7,0.09777777777777778,0.12378342559411915,0.10028102202975737,0.26491269841269843,0.13883209512240133
8,0.09185185185185166,0.1299612847719783,0.09889833899543621,0.2680978835978837,0.13999232411878476
9,0.08755555555555554,0.13687774258317295,0.09839912406988251,0.2658390652557321,0.14298719236856988
